Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"PSA 1974","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1449-6","R. S. CohenC. A. HookerA. C. MichalosJ. W. Van Evra","1976","http://link.springer.com/book/10.1007/978-94-010-1449-6","Book"
"Between Leibniz, Newton, and Kant","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-94-015-9729-6","Wolfgang Lefèvre","2001","http://link.springer.com/book/10.1007/978-94-015-9729-6","Book"
"Philosophies of Nature: The Human Dimension","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-2614-6","Robert S. CohenAlfred I. Tauber","1998","http://link.springer.com/book/10.1007/978-94-017-2614-6","Book"
"The Concepts of Space and Time","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1727-5","Milič Čapek","1976","http://link.springer.com/book/10.1007/978-94-010-1727-5","Book"
"On Scientific Discovery","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-1284-3","Mirko Drazen GrmekRobert S. CohenGuido Cimino","1981","http://link.springer.com/book/10.1007/978-94-010-1284-3","Book"
"The Qualitative-Quantitative Distinction in the Social Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3444-8","Barry GlassnerJonathan D. Moreno","1989","http://link.springer.com/book/10.1007/978-94-017-3444-8","Book"
"The Natural Sciences and the Social Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-3391-5","I. Bernard Cohen","1994","http://link.springer.com/book/10.1007/978-94-017-3391-5","Book"
"Experiment, Theory, Practice","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-8977-1","P. L. Kapitza","1980","http://link.springer.com/book/10.1007/978-94-009-8977-1","Book"
"Georg Simmel and Contemporary Sociology","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-0459-0","Michael KaernBernard S. PhillipsRobert S. Cohen","1990","http://link.springer.com/book/10.1007/978-94-009-0459-0","Book"
"The Electric Theories of J. Clerk Maxwell","Boston Studies in the Philosophy and History of Science","","","","10.1007/978-3-319-18515-6","Pierre Maurice Marie Duhem","2015","http://link.springer.com/book/10.1007/978-3-319-18515-6","Book"
"Epistemology, Methodology, and the Social Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-017-1458-7","Robert S. CohenMarx W. Wartofsky","1983","http://link.springer.com/book/10.1007/978-94-017-1458-7","Book"
"Niels Bohr and Contemporary Philosophy","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-8106-6","Jan FayeHenry J. Folse","1994","http://link.springer.com/book/10.1007/978-94-015-8106-6","Book"
"Selected Papers on Language and the Brain","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2093-0","Norman Geschwind","1974","http://link.springer.com/book/10.1007/978-94-010-2093-0","Book"
"The Structure and Growth of Scientific Knowledge","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-015-7680-2","G. L. Pandit","1983","http://link.springer.com/book/10.1007/978-94-015-7680-2","Book"
"Thinking about Society: Theory and Practice","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-5424-3","I. C. Jarvie","1986","http://link.springer.com/book/10.1007/978-94-009-5424-3","Book"
"Logical and Epistemological Studies in Contemporary Physics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-010-2656-7","Robert S. CohenMarx W. Wartofsky","1974","http://link.springer.com/book/10.1007/978-94-010-2656-7","Book"
"Beyond Mimesis and Convention","Boston Studies in the Philosophy of Science","","","","10.1007/978-90-481-3851-7","Roman FriggMatthew Hunter","2010","http://link.springer.com/book/10.1007/978-90-481-3851-7","Book"
"Rationality in Science and Politics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-6254-5","Gunnar Andersson","1984","http://link.springer.com/book/10.1007/978-94-009-6254-5","Book"
"Mexican Studies in the History and Philosophy of Science","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-0109-4","Santiago RamirezRobert S. Cohen","1995","http://link.springer.com/book/10.1007/978-94-009-0109-4","Book"
"Interpreting Physics","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-007-2369-6","Edward MacKinnon","2012","http://link.springer.com/book/10.1007/978-94-007-2369-6","Book"
"Hegel and the Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-6233-0","Robert S. CohenMarx W. Wartofsky","1984","http://link.springer.com/book/10.1007/978-94-009-6233-0","Book"
"Spinoza and the Sciences","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-4514-2","Marjorie GreneDebra Nails","1986","http://link.springer.com/book/10.1007/978-94-009-4514-2","Book"
"The Birth of Meaning in Hindu Thought","Boston Studies in the Philosophy of Science","","","","10.1007/978-94-009-1431-5","Robert S. Cohen","1988","http://link.springer.com/book/10.1007/978-94-009-1431-5","Book"
